Source,Target,weight
Abortion/Illegal,Arson,1
Abortion/Illegal,"Assault With Deadly Weapon, Aggravated Assault",3
Abortion/Illegal,Attempted Robbery,3
Abortion/Illegal,Battery - Simple Assault,3
Abortion/Illegal,Battery On A Firefighter,1
Abortion/Illegal,Battery Police (Simple),2
Abortion/Illegal,Battery With Sexual Contact,3
Abortion/Illegal,Bike - Stolen,2
Abortion/Illegal,Boat - Stolen,1
Abortion/Illegal,Bomb Scare,1
Abortion/Illegal,Brandish Weapon,3
Abortion/Illegal,"Bunco, Grand Theft",2
Abortion/Illegal,"Bunco, Petty Theft",1
Abortion/Illegal,Burglary,3
Abortion/Illegal,Burglary From Vehicle,3
Abortion/Illegal,"Burglary From Vehicle, Attempted",1
Abortion/Illegal,"Burglary, Attempted",2
Abortion/Illegal,Child Abuse (Physical) - Simple Assault,3
Abortion/Illegal,Child Annoying (17Yrs & Under),3
Abortion/Illegal,Child Neglect (See 300 W.I.C.),1
Abortion/Illegal,Counterfeit,1
Abortion/Illegal,"Credit Cards, Fraud Use ($950.01 & Over)",1
Abortion/Illegal,Criminal Homicide,3
Abortion/Illegal,Criminal Threats - No Weapon Displayed,3
Abortion/Illegal,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,3
Abortion/Illegal,Discharge Firearms/Shots Fired,1
Abortion/Illegal,Dishonest Employee - Petty Theft,1
Abortion/Illegal,Disturbing The Peace,2
Abortion/Illegal,Document Forgery / Stolen Felony,3
Abortion/Illegal,Document Worthless ($200.01 & Over),1
Abortion/Illegal,Driving Without Owner Consent (Dwoc),1
Abortion/Illegal,"Embezzlement, Grand Theft ($950.01 & Over)",2
Abortion/Illegal,Extortion,1
Abortion/Illegal,False Imprisonment,1
Abortion/Illegal,False Police Report,1
Abortion/Illegal,Indecent Exposure,2
Abortion/Illegal,Intimate Partner - Aggravated Assault,2
Abortion/Illegal,Intimate Partner - Simple Assault,3
Abortion/Illegal,Kidnapping,1
Abortion/Illegal,"Letters, Lewd",3
Abortion/Illegal,Oral Copulation,2
Abortion/Illegal,Other Assault,1
Abortion/Illegal,Other Miscellaneous Crime,3
Abortion/Illegal,Pandering,1
Abortion/Illegal,Peeping Tom,1
Abortion/Illegal,Prowler,1
Abortion/Illegal,"Rape, Forcible",2
Abortion/Illegal,Resisting Arrest,1
Abortion/Illegal,Robbery,3
Abortion/Illegal,"Sex, Unlawful",3
Abortion/Illegal,Sexual Pentration With A Foreign Object,1
Abortion/Illegal,Shoplifting - Petty Theft ($950 & Under),3
Abortion/Illegal,Shoplifting-Grand Theft ($950.01 & Over),2
Abortion/Illegal,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,1
Abortion/Illegal,Stalking,1
Abortion/Illegal,Theft From Motor Vehicle - Grand ($400 And Over),3
Abortion/Illegal,Theft From Motor Vehicle - Petty ($950 & Under),3
Abortion/Illegal,Theft From Person - Attempt,1
Abortion/Illegal,Theft Of Identity,3
Abortion/Illegal,Theft Plain - Attempt,2
Abortion/Illegal,Theft Plain - Petty ($950 & Under),3
Abortion/Illegal,"Theft, Person",3
Abortion/Illegal,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",3
Abortion/Illegal,Threatening Phone Calls/Letters,1
Abortion/Illegal,Throwing Object At Moving Vehicle,3
Abortion/Illegal,Trespassing,3
Abortion/Illegal,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",3
Abortion/Illegal,Vandalism - Misdeameanor ($399 Or Under),3
Abortion/Illegal,Vehicle - Attempt Stolen,3
Abortion/Illegal,Vehicle - Stolen,3
Abortion/Illegal,Violation Of Court Order,3
Abortion/Illegal,Violation Of Restraining Order,3
Arson,Abortion/Illegal,2
Arson,Arson,1137
Arson,Assault With Deadly Weapon On Police Officer,454
Arson,"Assault With Deadly Weapon, Aggravated Assault",2630
Arson,Attempted Robbery,2272
Arson,Battery - Simple Assault,2630
Arson,Battery On A Firefighter,114
Arson,Battery Police (Simple),1284
Arson,Battery With Sexual Contact,2145
Arson,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",5
Arson,Bigamy,8
Arson,Bike - Attempted Stolen,19
Arson,Bike - Stolen,1908
Arson,Blocking Door Induction Center,2
Arson,Boat - Stolen,107
Arson,Bomb Scare,422
Arson,Brandish Weapon,2113
Arson,Bribery,11
Arson,"Bunco, Attempt",274
Arson,"Bunco, Grand Theft",1549
Arson,"Bunco, Petty Theft",1206
Arson,Burglary,2630
Arson,Burglary From Vehicle,2630
Arson,"Burglary From Vehicle, Attempted",1060
Arson,"Burglary, Attempted",2295
Arson,Child Abandonment,37
Arson,Child Abuse (Physical) - Aggravated Assault,598
Arson,Child Abuse (Physical) - Simple Assault,1893
Arson,Child Annoying (17Yrs & Under),1423
Arson,Child Neglect (See 300 W.I.C.),1511
Arson,Child Stealing,451
Arson,Conspiracy,25
Arson,Contempt Of Court,819
Arson,Contributing,78
Arson,Counterfeit,349
Arson,"Credit Cards, Fraud Use ($950 & Under",110
Arson,"Credit Cards, Fraud Use ($950.01 & Over)",338
Arson,Criminal Homicide,952
Arson,Criminal Threats - No Weapon Displayed,2630
Arson,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,1592
Arson,Cruelty To Animals,554
Arson,"Defrauding Innkeeper/Theft Of Services, $400 & Under",820
Arson,"Defrauding Innkeeper/Theft Of Services, Over $400",91
Arson,Discharge Firearms/Shots Fired,1157
Arson,Dishonest Employee - Grand Theft,66
Arson,Dishonest Employee - Petty Theft,62
Arson,Dishonest Employee Attempted Theft,4
Arson,Disrupt School,15
Arson,Disturbing The Peace,1194
Arson,Document Forgery / Stolen Felony,2512
Arson,Document Worthless ($200 & Under),26
Arson,Document Worthless ($200.01 & Over),147
Arson,Driving Without Owner Consent (Dwoc),200
Arson,"Drugs, To A Minor",12
