Source,Target,weight,Label
Friday-Theft Of Identity,Saturday-Burglary,86,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Violation Of Court Order,14,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Vehicle - Stolen,83,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Burglary From Vehicle,71,Friday-Theft Of Identity
Friday-Theft Of Identity,"Saturday-Assault With Deadly Weapon, Aggravated Assault",45,Friday-Theft Of Identity
Friday-Theft Of Identity,Saturday-Battery - Simple Assault,82,Friday-Theft Of Identity
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Burglary,6,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Violation Of Court Order,1,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Vehicle - Stolen,11,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Burglary From Vehicle,5,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,"Saturday-Assault With Deadly Weapon, Aggravated Assault",5,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Battery - Simple Assault,7,Friday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Friday-Battery - Simple Assault,Saturday-Burglary,104,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Violation Of Court Order,16,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Vehicle - Stolen,95,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Burglary From Vehicle,103,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,"Saturday-Assault With Deadly Weapon, Aggravated Assault",59,Friday-Battery - Simple Assault
Friday-Battery - Simple Assault,Saturday-Battery - Simple Assault,109,Friday-Battery - Simple Assault
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Burglary,39,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Violation Of Court Order,3,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Vehicle - Stolen,68,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Burglary From Vehicle,56,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Saturday-Assault With Deadly Weapon, Aggravated Assault",26,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Battery - Simple Assault,51,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Burglary,38,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Violation Of Court Order,5,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Vehicle - Stolen,51,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Burglary From Vehicle,51,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault","Saturday-Assault With Deadly Weapon, Aggravated Assault",28,"Friday-Assault With Deadly Weapon, Aggravated Assault"
"Friday-Assault With Deadly Weapon, Aggravated Assault",Saturday-Battery - Simple Assault,49,"Friday-Assault With Deadly Weapon, Aggravated Assault"
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Burglary,40,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Violation Of Court Order,3,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Vehicle - Stolen,41,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Burglary From Vehicle,39,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),"Saturday-Assault With Deadly Weapon, Aggravated Assault",27,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Battery - Simple Assault,42,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Burglary,Saturday-Burglary,90,Friday-Burglary
Friday-Burglary,Saturday-Violation Of Court Order,8,Friday-Burglary
Friday-Burglary,Saturday-Vehicle - Stolen,101,Friday-Burglary
Friday-Burglary,Saturday-Burglary From Vehicle,107,Friday-Burglary
Friday-Burglary,"Saturday-Assault With Deadly Weapon, Aggravated Assault",65,Friday-Burglary
Friday-Burglary,Saturday-Battery - Simple Assault,112,Friday-Burglary
Friday-Discharge Firearms/Shots Fired,Saturday-Burglary,2,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Violation Of Court Order,2,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Vehicle - Stolen,1,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Burglary From Vehicle,1,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,"Saturday-Assault With Deadly Weapon, Aggravated Assault",1,Friday-Discharge Firearms/Shots Fired
Friday-Discharge Firearms/Shots Fired,Saturday-Battery - Simple Assault,1,Friday-Discharge Firearms/Shots Fired
Friday-Vehicle - Stolen,Saturday-Burglary,82,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Violation Of Court Order,7,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Vehicle - Stolen,100,Friday-Vehicle - Stolen
