id,label
Friday-Sexual Pentration With A Foreign Object,Friday-Sexual Pentration With A Foreign Object
Saturday-Document Forgery / Stolen Felony,Saturday-Document Forgery / Stolen Felony
Sunday-Discharge Firearms/Shots Fired,Sunday-Discharge Firearms/Shots Fired
Thursday-Battery - Simple Assault,Thursday-Battery - Simple Assault
Saturday-Stalking,Saturday-Stalking
Wednesday-Attempted Robbery,Wednesday-Attempted Robbery
Sunday-Battery With Sexual Contact,Sunday-Battery With Sexual Contact
"Saturday-Embezzlement, Petty Theft ($950 & Under)","Saturday-Embezzlement, Petty Theft ($950 & Under)"
"Tuesday-Bunco, Grand Theft","Tuesday-Bunco, Grand Theft"
Sunday-Other Miscellaneous Crime,Sunday-Other Miscellaneous Crime
Monday-Contempt Of Court,Monday-Contempt Of Court
Friday-Vehicle - Attempt Stolen,Friday-Vehicle - Attempt Stolen
Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Wednesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
"Friday-Defrauding Innkeeper/Theft Of Services, $400 & Under","Friday-Defrauding Innkeeper/Theft Of Services, $400 & Under"
"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),Tuesday-Theft From Motor Vehicle - Grand ($400 And Over)
Wednesday-Vehicle - Stolen,Wednesday-Vehicle - Stolen
Tuesday-Discharge Firearms/Shots Fired,Tuesday-Discharge Firearms/Shots Fired
"Sunday-Letters, Lewd","Sunday-Letters, Lewd"
"Wednesday-Bunco, Grand Theft","Wednesday-Bunco, Grand Theft"
"Friday-Bunco, Grand Theft","Friday-Bunco, Grand Theft"
Saturday-Brandish Weapon,Saturday-Brandish Weapon
Sunday-Stalking,Sunday-Stalking
Saturday-Burglary,Saturday-Burglary
Saturday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Theft From Motor Vehicle - Petty ($950 & Under)
Wednesday-Battery Police (Simple),Wednesday-Battery Police (Simple)
Friday-Lewd Conduct,Friday-Lewd Conduct
Thursday-Child Stealing,Thursday-Child Stealing
Friday-Document Forgery / Stolen Felony,Friday-Document Forgery / Stolen Felony
Tuesday-Unauthorized Computer Access,Tuesday-Unauthorized Computer Access
Sunday-Child Abuse (Physical) - Simple Assault,Sunday-Child Abuse (Physical) - Simple Assault
Tuesday-Cruelty To Animals,Tuesday-Cruelty To Animals
Tuesday-Shoplifting-Grand Theft ($950.01 & Over),Tuesday-Shoplifting-Grand Theft ($950.01 & Over)
Thursday-Intimate Partner - Simple Assault,Thursday-Intimate Partner - Simple Assault
Sunday-Dishonest Employee - Grand Theft,Sunday-Dishonest Employee - Grand Theft
Monday-Battery Police (Simple),Monday-Battery Police (Simple)
Monday-Brandish Weapon,Monday-Brandish Weapon
Sunday-Child Neglect (See 300 W.I.C.),Sunday-Child Neglect (See 300 W.I.C.)
Friday-Criminal Homicide,Friday-Criminal Homicide
Sunday-Indecent Exposure,Sunday-Indecent Exposure
"Thursday-Theft, Person","Thursday-Theft, Person"
Friday-Counterfeit,Friday-Counterfeit
Wednesday-Shoplifting - Petty Theft ($950 & Under),Wednesday-Shoplifting - Petty Theft ($950 & Under)
"Thursday-Burglary, Attempted","Thursday-Burglary, Attempted"
Thursday-Contempt Of Court,Thursday-Contempt Of Court
Tuesday-Battery With Sexual Contact,Tuesday-Battery With Sexual Contact
Saturday-Vehicle - Stolen,Saturday-Vehicle - Stolen
Thursday-Bribery,Thursday-Bribery
"Saturday-Bunco, Attempt","Saturday-Bunco, Attempt"
Monday-Lewd Conduct,Monday-Lewd Conduct
Tuesday-Child Stealing,Tuesday-Child Stealing
"Tuesday-Burglary From Vehicle, Attempted","Tuesday-Burglary From Vehicle, Attempted"
Monday-Sexual Pentration With A Foreign Object,Monday-Sexual Pentration With A Foreign Object
Thursday-Theft Plain - Attempt,Thursday-Theft Plain - Attempt
Thursday-Violation Of Temporary Restraining Order,Thursday-Violation Of Temporary Restraining Order
Tuesday-Intimate Partner - Aggravated Assault,Tuesday-Intimate Partner - Aggravated Assault
Sunday-Shots Fired At Inhabited Dwelling,Sunday-Shots Fired At Inhabited Dwelling
Thursday-Other Miscellaneous Crime,Thursday-Other Miscellaneous Crime
"Thursday-Defrauding Innkeeper/Theft Of Services, $400 & Under","Thursday-Defrauding Innkeeper/Theft Of Services, $400 & Under"
Sunday-Child Stealing,Sunday-Child Stealing
Monday-Theft Plain - Petty ($950 & Under),Monday-Theft Plain - Petty ($950 & Under)
"Monday-Theft, Coin Machine - Grand ($950.01 & Over)","Monday-Theft, Coin Machine - Grand ($950.01 & Over)"
Tuesday-Shots Fired At Inhabited Dwelling,Tuesday-Shots Fired At Inhabited Dwelling
"Thursday-Letters, Lewd","Thursday-Letters, Lewd"
"Sunday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Sunday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Tuesday-Vehicle - Stolen,Tuesday-Vehicle - Stolen
"Tuesday-Theft, Person","Tuesday-Theft, Person"
Monday-Purse Snatching,Monday-Purse Snatching
Tuesday-Battery Police (Simple),Tuesday-Battery Police (Simple)
Thursday-Vehicle - Attempt Stolen,Thursday-Vehicle - Attempt Stolen
Monday-Child Abuse (Physical) - Aggravated Assault,Monday-Child Abuse (Physical) - Aggravated Assault
"Friday-Letters, Lewd","Friday-Letters, Lewd"
Tuesday-Other Miscellaneous Crime,Tuesday-Other Miscellaneous Crime
"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Tuesday-Shoplifting - Petty Theft ($950 & Under),Tuesday-Shoplifting - Petty Theft ($950 & Under)
Tuesday-Theft Plain - Petty ($950 & Under),Tuesday-Theft Plain - Petty ($950 & Under)
Monday-Criminal Threats - No Weapon Displayed,Monday-Criminal Threats - No Weapon Displayed
Friday-Battery Police (Simple),Friday-Battery Police (Simple)
"Monday-Rape, Forcible","Monday-Rape, Forcible"
Sunday-Brandish Weapon,Sunday-Brandish Weapon
Tuesday-Burglary From Vehicle,Tuesday-Burglary From Vehicle
Sunday-Document Forgery / Stolen Felony,Sunday-Document Forgery / Stolen Felony
Wednesday-Extortion,Wednesday-Extortion
Wednesday-Arson,Wednesday-Arson
"Sunday-Burglary, Attempted","Sunday-Burglary, Attempted"
"Sunday-Theft, Person","Sunday-Theft, Person"
Thursday-Other Assault,Thursday-Other Assault
Monday-Document Forgery / Stolen Felony,Monday-Document Forgery / Stolen Felony
Monday-Vehicle - Attempt Stolen,Monday-Vehicle - Attempt Stolen
Friday-Battery With Sexual Contact,Friday-Battery With Sexual Contact
Wednesday-Bike - Stolen,Wednesday-Bike - Stolen
Saturday-Peeping Tom,Saturday-Peeping Tom
Wednesday-Robbery,Wednesday-Robbery
Tuesday-Bomb Scare,Tuesday-Bomb Scare
"Saturday-Rape, Forcible","Saturday-Rape, Forcible"
"Monday-Burglary From Vehicle, Attempted","Monday-Burglary From Vehicle, Attempted"
"Monday-Letters, Lewd","Monday-Letters, Lewd"
Wednesday-Violation Of Temporary Restraining Order,Wednesday-Violation Of Temporary Restraining Order
"Wednesday-Defrauding Innkeeper/Theft Of Services, $400 & Under","Wednesday-Defrauding Innkeeper/Theft Of Services, $400 & Under"
Monday-Resisting Arrest,Monday-Resisting Arrest
Tuesday-Kidnapping - Grand Attempt,Tuesday-Kidnapping - Grand Attempt
"Saturday-Rape, Attempted","Saturday-Rape, Attempted"
Thursday-Robbery,Thursday-Robbery
Monday-Robbery,Monday-Robbery
Tuesday-Arson,Tuesday-Arson
"Thursday-Defrauding Innkeeper/Theft Of Services, Over $400","Thursday-Defrauding Innkeeper/Theft Of Services, Over $400"
Monday-Arson,Monday-Arson
Wednesday-Theft Plain - Attempt,Wednesday-Theft Plain - Attempt
Tuesday-Bike - Stolen,Tuesday-Bike - Stolen
"Tuesday-Credit Cards, Fraud Use ($950.01 & Over)","Tuesday-Credit Cards, Fraud Use ($950.01 & Over)"
Friday-Child Abuse (Physical) - Simple Assault,Friday-Child Abuse (Physical) - Simple Assault
Sunday-Disturbing The Peace,Sunday-Disturbing The Peace
Sunday-Failure To Yield,Sunday-Failure To Yield
"Wednesday-Credit Cards, Fraud Use ($950.01 & Over)","Wednesday-Credit Cards, Fraud Use ($950.01 & Over)"
Saturday-Purse Snatching,Saturday-Purse Snatching
Monday-Theft Plain - Attempt,Monday-Theft Plain - Attempt
Monday-Intimate Partner - Aggravated Assault,Monday-Intimate Partner - Aggravated Assault
Monday-Violation Of Restraining Order,Monday-Violation Of Restraining Order
Wednesday-Stalking,Wednesday-Stalking
Sunday-Reckless Driving,Sunday-Reckless Driving
Tuesday-Burglary,Tuesday-Burglary
Friday-Shots Fired At Inhabited Dwelling,Friday-Shots Fired At Inhabited Dwelling
Sunday-Resisting Arrest,Sunday-Resisting Arrest
Wednesday-Failure To Yield,Wednesday-Failure To Yield
"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Thursday-Criminal Homicide,Thursday-Criminal Homicide
"Thursday-Rape, Forcible","Thursday-Rape, Forcible"
"Sunday-Bunco, Petty Theft","Sunday-Bunco, Petty Theft"
Thursday-Theft From Motor Vehicle - Grand ($400 And Over),Thursday-Theft From Motor Vehicle - Grand ($400 And Over)
Friday-Pimping,Friday-Pimping
Wednesday-Disrupt School,Wednesday-Disrupt School
Thursday-Illegal Dumping,Thursday-Illegal Dumping
Tuesday-Dishonest Employee - Grand Theft,Tuesday-Dishonest Employee - Grand Theft
Saturday-Illegal Dumping,Saturday-Illegal Dumping
Friday-Driving Without Owner Consent (Dwoc),Friday-Driving Without Owner Consent (Dwoc)
Friday-Child Neglect (See 300 W.I.C.),Friday-Child Neglect (See 300 W.I.C.)
Tuesday-Vehicle - Attempt Stolen,Tuesday-Vehicle - Attempt Stolen
"Thursday-Bunco, Grand Theft","Thursday-Bunco, Grand Theft"
Friday-Vandalism - Misdeameanor ($399 Or Under),Friday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Theft Of Identity,Thursday-Theft Of Identity
Monday-Peeping Tom,Monday-Peeping Tom
Monday-Counterfeit,Monday-Counterfeit
Thursday-Bomb Scare,Thursday-Bomb Scare
Friday-Burglary,Friday-Burglary
"Tuesday-Letters, Lewd","Tuesday-Letters, Lewd"
Monday-Bike - Stolen,Monday-Bike - Stolen
Saturday-Throwing Object At Moving Vehicle,Saturday-Throwing Object At Moving Vehicle
Saturday-Lewd Conduct,Saturday-Lewd Conduct
Tuesday-Counterfeit,Tuesday-Counterfeit
Friday-Child Stealing,Friday-Child Stealing
Tuesday-Reckless Driving,Tuesday-Reckless Driving
Friday-Resisting Arrest,Friday-Resisting Arrest
"Monday-Rape, Attempted","Monday-Rape, Attempted"
Friday-Peeping Tom,Friday-Peeping Tom
Tuesday-Child Annoying (17Yrs & Under),Tuesday-Child Annoying (17Yrs & Under)
Tuesday-Violation Of Court Order,Tuesday-Violation Of Court Order
"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Monday-Theft Of Identity,Monday-Theft Of Identity
Wednesday-Theft From Motor Vehicle - Grand ($400 And Over),Wednesday-Theft From Motor Vehicle - Grand ($400 And Over)
Saturday-Child Abuse (Physical) - Simple Assault,Saturday-Child Abuse (Physical) - Simple Assault
"Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Sunday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Friday-Theft, Person","Friday-Theft, Person"
Tuesday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,Tuesday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02
"Friday-Defrauding Innkeeper/Theft Of Services, Over $400","Friday-Defrauding Innkeeper/Theft Of Services, Over $400"
Monday-Indecent Exposure,Monday-Indecent Exposure
Wednesday-Disturbing The Peace,Wednesday-Disturbing The Peace
"Friday-Theft, Coin Machine - Petty ($950 & Under)","Friday-Theft, Coin Machine - Petty ($950 & Under)"
Thursday-Contributing,Thursday-Contributing
Sunday-Throwing Object At Moving Vehicle,Sunday-Throwing Object At Moving Vehicle
Thursday-Purse Snatching,Thursday-Purse Snatching
Saturday-Prowler,Saturday-Prowler
Tuesday-Child Neglect (See 300 W.I.C.),Tuesday-Child Neglect (See 300 W.I.C.)
"Saturday-Burglary, Attempted","Saturday-Burglary, Attempted"
Thursday-False Police Report,Thursday-False Police Report
Tuesday-Threatening Phone Calls/Letters,Tuesday-Threatening Phone Calls/Letters
Wednesday-Dishonest Employee - Grand Theft,Wednesday-Dishonest Employee - Grand Theft
"Wednesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Wednesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Wednesday-Rape, Forcible","Wednesday-Rape, Forcible"
"Thursday-Embezzlement, Grand Theft ($950.01 & Over)","Thursday-Embezzlement, Grand Theft ($950.01 & Over)"
Saturday-Vehicle - Attempt Stolen,Saturday-Vehicle - Attempt Stolen
Wednesday-Contempt Of Court,Wednesday-Contempt Of Court
